System Efficiency between TABBITA-1 (26215) and MORRELLS (26228)
for period 2019-09-16 00:00 to 2019-10-17 00:00

System Efficiency (%):, 98.5*

Diverted (ML):, 831.0
Delivered (ML):, 0.0
Evaporative loss (ML):, 2.4
Rainfall (ML):, 0.1
Seepage loss (ML):, not yet implemented
Unaccounted loss (ML):, 10.5

Outlets
Telemetered:, 1
Manually read:, 0 
Unmetered sites:, 0
Total:, 1

outlet,object_id,RTU_totaliser (ML),flow_integral (ML),manual_reading (ML),diff
T1/1,64129,0.000,0.000,,
, Total, 0.0, 0.0, 0.0, , 0.0

time of data collection: 2020-04-23 14:28

meters not read:
